Date,Close,Date,Close,Date,Close
11/7/2019 16:00:00,482.95,11/7/2019 16:00:00,1788.2,11/7/2019 16:00:00,184.16
11/8/2019 16:00:00,494.42,11/8/2019 16:00:00,1785.88,11/8/2019 16:00:00,187.16
11/11/2019 16:00:00,497.62,11/11/2019 16:00:00,1771.65,11/11/2019 16:00:00,186.71
11/12/2019 16:00:00,499.5,11/12/2019 16:00:00,1778,11/12/2019 16:00:00,186.97
11/13/2019 16:00:00,513.73,11/13/2019 16:00:00,1753.11,11/13/2019 16:00:00,182.48
11/14/2019 16:00:00,536.54,11/14/2019 16:00:00,1754.6,11/14/2019 16:00:00,182.8
11/15/2019 16:00:00,550.1,11/15/2019 16:00:00,1739.49,11/15/2019 16:00:00,185.49
11/18/2019 16:00:00,533.01,11/18/2019 16:00:00,1752.53,11/18/2019 16:00:00,184.61
11/19/2019 16:00:00,536.33,11/19/2019 16:00:00,1752.79,11/19/2019 16:00:00,185.25
11/20/2019 16:00:00,547.85,11/20/2019 16:00:00,1745.53,11/20/2019 16:00:00,182.35
11/21/2019 16:00:00,562,11/21/2019 16:00:00,1734.71,11/21/2019 16:00:00,184.86
11/22/2019 16:00:00,565.5,11/22/2019 16:00:00,1745.72,11/22/2019 16:00:00,186.78
11/25/2019 16:00:00,585,11/25/2019 16:00:00,1773.84,11/25/2019 16:00:00,190.45
11/26/2019 16:00:00,583.15,11/26/2019 16:00:00,1796.94,11/26/2019 16:00:00,194.7
11/27/2019 16:00:00,589.4,11/27/2019 16:00:00,1818.51,11/27/2019 16:00:00,200.82
11/29/2019 13:00:00,580.58,11/29/2019 13:00:00,1800.8,11/29/2019 13:00:00,200
12/2/2019 16:00:00,580,12/2/2019 16:00:00,1781.6,12/2/2019 16:00:00,196.31
12/3/2019 16:00:00,575.24,12/3/2019 16:00:00,1769.96,12/3/2019 16:00:00,194.9
12/4/2019 16:00:00,575.24,12/4/2019 16:00:00,1760.69,12/4/2019 16:00:00,193.74
12/5/2019 16:00:00,578.52,12/5/2019 16:00:00,1740.48,12/5/2019 16:00:00,200
12/6/2019 16:00:00,583,12/6/2019 16:00:00,1751.6,12/6/2019 16:00:00,201.89
12/9/2019 16:00:00,584.56,12/9/2019 16:00:00,1749.51,12/9/2019 16:00:00,198.74
12/10/2019 16:00:00,586.69,12/10/2019 16:00:00,1739.21,12/10/2019 16:00:00,200.45
12/11/2019 16:00:00,580.31,12/11/2019 16:00:00,1748.72,12/11/2019 16:00:00,204.64
12/12/2019 16:00:00,579.98,12/12/2019 16:00:00,1760.33,12/12/2019 16:00:00,204.5
12/13/2019 16:00:00,567.67,12/13/2019 16:00:00,1760.94,12/13/2019 16:00:00,204.91
12/16/2019 16:00:00,582.18,12/16/2019 16:00:00,1769.21,12/16/2019 16:00:00,206.97
12/17/2019 16:00:00,585.84,12/17/2019 16:00:00,1790.66,12/17/2019 16:00:00,208.18
12/18/2019 16:00:00,582,12/18/2019 16:00:00,1784.03,12/18/2019 16:00:00,210
12/19/2019 16:00:00,582.55,12/19/2019 16:00:00,1792.28,12/19/2019 16:00:00,210.13
12/20/2019 16:00:00,592.54,12/20/2019 16:00:00,1786.5,12/20/2019 16:00:00,212.25
12/23/2019 16:00:00,594.15,12/23/2019 16:00:00,1793,12/23/2019 16:00:00,214.83
12/24/2019 13:00:00,594.53,12/24/2019 13:00:00,1789.21,12/24/2019 13:00:00,214.26
12/26/2019 16:00:00,597.24,12/26/2019 16:00:00,1868.77,12/26/2019 16:00:00,216.38
12/27/2019 16:00:00,599.24,12/27/2019 16:00:00,1869.8,12/27/2019 16:00:00,215.47
12/30/2019 16:00:00,583.85,12/30/2019 16:00:00,1846.89,12/30/2019 16:00:00,212.91
12/31/2019 16:00:00,571.94,12/31/2019 16:00:00,1847.84,12/31/2019 16:00:00,212.1
1/2/2020 16:00:00,610.19,1/2/2020 16:00:00,1898.01,1/2/2020 16:00:00,219.77
1/3/2020 16:00:00,607.8,1/3/2020 16:00:00,1874.97,1/3/2020 16:00:00,217
1/6/2020 16:00:00,606.55,1/6/2020 16:00:00,1902.88,1/6/2020 16:00:00,216.64
1/7/2020 16:00:00,625,1/7/2020 16:00:00,1906.86,1/7/2020 16:00:00,217.63
1/8/2020 16:00:00,633.44,1/8/2020 16:00:00,1891.97,1/8/2020 16:00:00,218
1/9/2020 16:00:00,646.43,1/9/2020 16:00:00,1901.05,1/9/2020 16:00:00,221.78
1/10/2020 16:00:00,669.48,1/10/2020 16:00:00,1883.16,1/10/2020 16:00:00,223.83
1/13/2020 16:00:00,691.1,1/13/2020 16:00:00,1891.3,1/13/2020 16:00:00,230.48
1/14/2020 16:00:00,652.07,1/14/2020 16:00:00,1869.44,1/14/2020 16:00:00,226.49
1/15/2020 16:00:00,659.98,1/15/2020 16:00:00,1862.02,1/15/2020 16:00:00,225.06
1/16/2020 16:00:00,666.46,1/16/2020 16:00:00,1877.94,1/16/2020 16:00:00,223.94
1/17/2020 16:00:00,673.01,1/17/2020 16:00:00,1864.72,1/17/2020 16:00:00,227.43
1/21/2020 16:00:00,658.46,1/21/2020 16:00:00,1892,1/21/2020 16:00:00,222.26
1/22/2020 16:00:00,663.15,1/22/2020 16:00:00,1887.46,1/22/2020 16:00:00,222.37
1/23/2020 16:00:00,663.33,1/23/2020 16:00:00,1884.58,1/23/2020 16:00:00,219.13
1/24/2020 16:00:00,660.58,1/24/2020 16:00:00,1861.64,1/24/2020 16:00:00,213.75
1/27/2020 16:00:00,653.86,1/27/2020 16:00:00,1828.34,1/27/2020 16:00:00,205.47
1/28/2020 16:00:00,674.72,1/28/2020 16:00:00,1853.25,1/28/2020 16:00:00,210.23
1/29/2020 16:00:00,668.61,1/29/2020 16:00:00,1858,1/29/2020 16:00:00,212.02
1/30/2020 16:00:00,671.08,1/30/2020 16:00:00,1870.68,1/30/2020 16:00:00,208.58
1/31/2020 16:00:00,663,1/31/2020 16:00:00,2008.72,1/31/2020 16:00:00,206.59
2/3/2020 16:00:00,677.98,2/3/2020 16:00:00,2004.2,2/3/2020 16:00:00,213.1
2/4/2020 16:00:00,709.86,2/4/2020 16:00:00,2049.67,2/4/2020 16:00:00,222.88
2/5/2020 16:00:00,675.84,2/5/2020 16:00:00,2039.87,2/5/2020 16:00:00,220.22
2/6/2020 16:00:00,671,2/6/2020 16:00:00,2050.23,2/6/2020 16:00:00,220.9
2/7/2020 16:00:00,646.02,2/7/2020 16:00:00,2079.28,2/7/2020 16:00:00,216.53
