Date,Close,Date,Close,Date,Close
7/13/2015 16:00,135.64,7/13/2015 16:00,455.57,7/13/2015 16:00,81.86
7/14/2015 16:00,134.9,7/14/2015 16:00,465.57,7/14/2015 16:00,81.5
7/15/2015 16:00,135.6,7/15/2015 16:00,461.19,7/15/2015 16:00,80.73
7/16/2015 16:00,136.01,7/16/2015 16:00,475.48,7/16/2015 16:00,81.53
7/17/2015 16:00,137.12,7/17/2015 16:00,483.01,7/17/2015 16:00,83.36
7/20/2015 16:00,136.79,7/20/2015 16:00,488.1,7/20/2015 16:00,82.67
7/21/2015 16:00,134.63,7/21/2015 16:00,488,7/21/2015 16:00,82.54
7/22/2015 16:00,134.83,7/22/2015 16:00,488.27,7/22/2015 16:00,84.15
7/23/2015 16:00,133.12,7/23/2015 16:00,482.18,7/23/2015 16:00,83.88
7/24/2015 16:00,131.39,7/24/2015 16:00,529.42,7/24/2015 16:00,83.02
7/27/2015 16:00,128.89,7/27/2015 16:00,531.41,7/27/2015 16:00,81.4
7/28/2015 16:00,128.64,7/28/2015 16:00,526.03,7/28/2015 16:00,80.56
7/29/2015 16:00,134,7/29/2015 16:00,529,7/29/2015 16:00,80.26
7/30/2015 16:00,130.68,7/30/2015 16:00,536.76,7/30/2015 16:00,79.96
7/31/2015 16:00,130.69,7/31/2015 16:00,536.15,7/31/2015 16:00,78.34
8/3/2015 16:00,128.4,8/3/2015 16:00,535.03,8/3/2015 16:00,77.99
8/4/2015 16:00,129.17,8/4/2015 16:00,531.9,8/4/2015 16:00,78.87
8/5/2015 16:00,131.92,8/5/2015 16:00,537.01,8/5/2015 16:00,79.82
8/6/2015 16:00,121,8/6/2015 16:00,529.46,8/6/2015 16:00,78.96
8/7/2015 16:00,121.14,8/7/2015 16:00,522.62,8/7/2015 16:00,78.82
8/10/2015 16:00,123.66,8/10/2015 16:00,524,8/10/2015 16:00,80.47
8/11/2015 16:00,123.2,8/11/2015 16:00,527.46,8/11/2015 16:00,77.34
8/12/2015 16:00,121.27,8/12/2015 16:00,525.91,8/12/2015 16:00,73.38
8/13/2015 16:00,120.24,8/13/2015 16:00,529.66,8/13/2015 16:00,75.11
8/14/2015 16:00,119.75,8/14/2015 16:00,531.52,8/14/2015 16:00,74.76
8/17/2015 16:00,121.12,8/17/2015 16:00,535.22,8/17/2015 16:00,75.19
8/18/2015 16:00,117.93,8/18/2015 16:00,535.02,8/18/2015 16:00,73.88
8/19/2015 16:00,113.89,8/19/2015 16:00,532.92,8/19/2015 16:00,73.12
8/20/2015 16:00,107.88,8/20/2015 16:00,515.78,8/20/2015 16:00,70.32
8/21/2015 16:00,106.54,8/21/2015 16:00,494.47,8/21/2015 16:00,68.18
8/24/2015 16:00,103.49,8/24/2015 16:00,463.37,8/24/2015 16:00,65.8
8/25/2015 16:00,102.16,8/25/2015 16:00,466.37,8/25/2015 16:00,68.57
8/26/2015 16:00,104.76,8/26/2015 16:00,500.77,8/26/2015 16:00,68.66
8/27/2015 16:00,111.97,8/27/2015 16:00,518.37,8/27/2015 16:00,70.84
8/28/2015 16:00,113.19,8/28/2015 16:00,518.01,8/28/2015 16:00,70.07
8/31/2015 16:00,110.05,8/31/2015 16:00,512.89,8/31/2015 16:00,66.12
9/1/2015 16:00,108.63,9/1/2015 16:00,496.54,9/1/2015 16:00,64.83
9/2/2015 16:00,109.94,9/2/2015 16:00,510.55,9/2/2015 16:00,65.54
9/3/2015 16:00,112.23,9/3/2015 16:00,504.72,9/3/2015 16:00,66.47
9/4/2015 16:00,108.18,9/4/2015 16:00,499,9/4/2015 16:00,63.91
9/8/2015 16:00,109.55,9/8/2015 16:00,517.54,9/8/2015 16:00,60.91
9/9/2015 16:00,108.06,9/9/2015 16:00,516.89,9/9/2015 16:00,64.04
9/10/2015 16:00,107,9/10/2015 16:00,522.24,9/10/2015 16:00,63.83
9/11/2015 16:00,105.25,9/11/2015 16:00,529.44,9/11/2015 16:00,64.63
9/14/2015 16:00,106.1,9/14/2015 16:00,521.38,9/14/2015 16:00,62.6
9/15/2015 16:00,108.2,9/15/2015 16:00,522.37,9/15/2015 16:00,64.85
9/16/2015 16:00,109.28,9/16/2015 16:00,527.39,9/16/2015 16:00,67.23
9/17/2015 16:00,104.91,9/17/2015 16:00,538.87,9/17/2015 16:00,66
9/18/2015 16:00,99.64,9/18/2015 16:00,540.26,9/18/2015 16:00,65.75
9/21/2015 16:00,98.68,9/21/2015 16:00,548.39,9/21/2015 16:00,63.9
9/22/2015 16:00,95.5,9/22/2015 16:00,538.4,9/22/2015 16:00,61.9
9/23/2015 16:00,92.59,9/23/2015 16:00,536.07,9/23/2015 16:00,60
9/24/2015 16:00,92.52,9/24/2015 16:00,533.75,9/24/2015 16:00,59.92
9/25/2015 16:00,91.9,9/25/2015 16:00,524.25,9/25/2015 16:00,59.24
9/28/2015 16:00,90.05,9/28/2015 16:00,504.06,9/28/2015 16:00,57.39
